Order_ID,Order_Preparation_Time (min),Delivery_Distance (km),Order_Size (items),Time_of_Day,Traffic_Condition,Weather,Delivery_Time (min)
489,23.4,1.95,7,Evening,High,Cloudy,54.0
490,19.4,7.53,3,Afternoon,Medium,Clear,46.1
491,15.0,3.9,6,Afternoon,Medium,Cloudy,37.7
492,22.4,10.12,5,Night,High,Rainy,74.3
493,15.4,3.87,3,Morning,Medium,Clear,34.4
494,10.7,5.37,1,Night,High,Clear,34.1
495,22.6,8.08,5,Afternoon,Medium,Stormy,65.5
496,17.7,9.01,3,Afternoon,Low,Rainy,56.0
497,9.8,9.12,4,Morning,Low,Cloudy,46.7
498,14.0,7.42,5,Evening,Medium,Cloudy,43.9
499,10.6,7.05,5,Evening,Medium,Clear,37.9
500,8.1,6.19,2,Afternoon,High,Cloudy,35.5
501,19.6,6.56,4,Evening,Low,Rainy,56.4
502,24.5,3.9,1,Afternoon,High,Cloudy,49.1
503,8.0,3.36,6,Morning,High,Clear,33.7
504,17.8,4.99,7,Morning,Low,Clear,31.8
505,11.7,4.66,3,Afternoon,High,Clear,42.5
506,12.6,4.09,2,Morning,Jam,Clear,41.4
507,12.0,6.39,3,Night,High,Clear,42.3
508,10.7,6.91,1,Night,High,Clear,37.3
509,15.2,5.18,1,Morning,Jam,Clear,46.2
510,10.8,7.96,5,Afternoon,Medium,Clear,51.9
511,16.4,2.72,7,Afternoon,Medium,Cloudy,37.9
512,14.7,4.61,1,Morning,High,Clear,41.1
513,13.8,3.57,3,Evening,Medium,Clear,32.9
514,10.5,1.27,4,Night,Medium,Clear,23.2
515,12.1,4.83,4,Evening,Low,Clear,30.5
516,18.8,4.76,5,Afternoon,High,Cloudy,54.8
517,17.5,8.03,6,Afternoon,Low,Clear,48.0
518,10.1,6.26,3,Evening,Jam,Cloudy,54.6
519,15.5,2.95,3,Morning,Medium,Rainy,36.4
520,18.8,8.71,1,Evening,Low,Cloudy,45.3
521,6.7,7.44,7,Evening,Medium,Cloudy,41.4
522,17.7,6.16,3,Night,Low,Rainy,48.5
523,11.7,4.55,2,Night,Medium,Cloudy,35.8
524,17.9,3.08,6,Evening,Jam,Clear,51.6
525,11.2,4.26,1,Evening,High,Clear,38.6
526,6.0,7.18,2,Afternoon,Low,Rainy,36.3
527,6.9,8.77,5,Night,Low,Clear,40.1
528,15.2,8.09,4,Night,High,Clear,62.1
529,16.3,4.02,5,Afternoon,Jam,Cloudy,54.1
530,10.5,2.76,4,Morning,Medium,Rainy,28.9
531,18.2,5.28,5,Night,Medium,Clear,48.9
532,6.7,1.46,3,Night,Medium,Cloudy,21.2
533,14.7,5.65,2,Morning,High,Clear,40.0
534,8.9,4.7,4,Night,Medium,Cloudy,34.1
535,11.7,4.07,1,Night,Low,Clear,28.5
536,15.2,1.81,2,Morning,Low,Clear,21.4
537,10.7,6.03,1,Morning,High,Rainy,47.4
538,13.1,3.93,2,Evening,Low,Clear,24.0
539,20.0,2.66,2,Afternoon,Medium,Cloudy,38.0
540,12.1,0.5,5,Afternoon,Medium,Clear,27.3
541,19.2,4.94,4,Morning,Low,Clear,41.3
542,9.4,8.54,4,Morning,Low,Cloudy,37.0
543,17.6,8.32,7,Night,High,Clear,63.5
544,22.2,4.09,2,Evening,High,Clear,51.7
545,5.0,3.8,3,Evening,High,Clear,30.5
546,11.0,5.94,3,Morning,High,Cloudy,45.6
547,17.9,3.0,1,Night,Medium,Rainy,40.0
548,14.0,5.6,1,Night,High,Stormy,47.2
549,16.9,6.53,5,Afternoon,Medium,Clear,50.7
550,12.0,7.45,2,Afternoon,Medium,Clear,47.5
551,15.4,4.8,1,Night,Jam,Clear,42.0
552,14.2,4.59,1,Afternoon,Low,Rainy,33.9
553,20.8,3.24,6,Morning,Medium,Clear,37.8
554,16.3,3.35,2,Night,Medium,Stormy,45.1
555,16.7,4.55,5,Afternoon,Low,Clear,36.3
556,12.9,5.73,1,Evening,Low,Stormy,39.7
557,12.6,6.83,5,Night,High,Rainy,56.2
558,12.8,3.39,4,Night,Jam,Rainy,45.6
559,17.0,7.99,5,Evening,Medium,Clear,52.4
560,12.9,4.46,3,Morning,Low,Clear,26.3
561,16.4,4.96,3,Evening,Low,Clear,37.1
562,25.4,3.51,5,Night,High,Clear,52.2
563,19.4,0.5,3,Morning,Medium,Clear,30.7
564,13.4,6.77,4,Afternoon,Medium,Cloudy,46.4
565,21.0,6.47,2,Afternoon,Medium,Clear,45.4
566,13.0,4.44,3,Afternoon,Medium,Cloudy,38.3
567,5.0,5.13,3,Night,Medium,Cloudy,33.4
568,10.0,6.03,5,Evening,High,Clear,41.6
569,5.6,1.87,4,Morning,Medium,Stormy,28.6
570,13.2,3.94,7,Afternoon,Medium,Clear,37.7
571,15.1,6.59,7,Morning,Medium,Clear,45.0
572,23.4,2.49,7,Night,High,Clear,46.9
573,16.6,5.59,7,Afternoon,Medium,Rainy,47.2
574,13.9,2.29,2,Night,Low,Clear,20.3
575,19.1,5.93,5,Evening,Medium,Clear,43.4
576,5.0,4.93,5,Night,Low,Cloudy,27.1
577,16.2,1.77,6,Night,High,Clear,34.1
578,18.9,7.33,4,Evening,Medium,Cloudy,50.0
579,7.6,3.53,7,Morning,Jam,Rainy,53.2
580,20.7,3.38,2,Evening,Low,Stormy,40.9
581,16.7,5.4,4,Evening,High,Clear,51.7
582,12.9,7.3,7,Night,Medium,Clear,40.8
583,18.2,2.97,2,Morning,High,Clear,41.3
584,26.4,5.12,4,Afternoon,Medium,Clear,47.4
585,15.9,5.86,5,Evening,Medium,Clear,48.3
586,16.2,6.39,5,Morning,High,Clear,54.8
587,12.7,5.35,1,Evening,Low,Stormy,34.9
588,10.8,4.27,3,Evening,Low,Rainy,37.4
589,19.2,3.34,7,Evening,Medium,Clear,38.7
590,10.7,5.17,6,Evening,Medium,Clear,40.0
591,15.4,2.86,4,Night,Low,Clear,29.3
592,12.6,0.5,6,Morning,Low,Clear,21.9
593,17.4,5.87,1,Morning,Low,Cloudy,38.0
594,16.7,6.81,3,Morning,High,Cloudy,51.5
595,20.2,0.5,4,Evening,Medium,Rainy,36.5
596,12.4,2.98,2,Night,High,Cloudy,38.3
597,13.7,6.24,7,Evening,Jam,Cloudy,67.2
598,10.1,9.11,3,Evening,Medium,Cloudy,53.4
599,12.8,5.04,5,Morning,Low,Clear,28.4
600,16.9,3.54,1,Evening,Low,Cloudy,34.4
601,18.8,4.63,3,Afternoon,Low,Clear,34.0
602,10.4,7.75,7,Evening,Jam,Clear,49.6
603,19.3,3.71,3,Afternoon,Medium,Clear,37.6
604,21.8,3.4,7,Evening,Low,Clear,37.0
605,17.1,4.03,5,Night,Medium,Rainy,37.9
606,24.4,3.09,4,Night,Medium,Clear,45.7
607,11.1,5.25,2,Morning,Medium,Clear,34.3
608,8.8,8.25,5,Evening,Low,Clear,37.8
609,6.1,5.65,2,Afternoon,Jam,Cloudy,46.2
610,22.5,4.5,4,Afternoon,Medium,Clear,47.7
611,18.3,4.42,3,Evening,Low,Stormy,40.2
612,14.7,1.87,2,Afternoon,High,Rainy,37.7
613,16.4,6.77,1,Night,Low,Cloudy,46.2
614,9.4,4.84,1,Afternoon,Jam,Cloudy,38.1
615,27.2,4.64,7,Morning,Jam,Clear,61.9
616,15.6,11.39,5,Night,High,Clear,66.6
617,15.5,5.6,4,Night,High,Cloudy,46.7
618,18.6,3.5,7,Night,Medium,Clear,42.2
619,17.4,4.15,5,Evening,Jam,Clear,49.5
620,16.1,7.3,5,Evening,Medium,Cloudy,52.5
621,11.0,5.23,7,Night,High,Clear,49.0
622,17.4,2.12,6,Evening,Jam,Rainy,46.6
623,24.4,6.84,5,Afternoon,Jam,Clear,65.6
624,21.7,3.66,6,Evening,High,Cloudy,48.6
625,23.0,8.75,1,Evening,Medium,Cloudy,56.0
626,12.4,7.16,1,Night,Jam,Cloudy,55.2
627,10.1,4.11,5,Morning,Medium,Clear,33.4
628,14.4,7.56,1,Morning,Jam,Cloudy,50.4
629,15.3,5.14,4,Morning,Medium,Rainy,48.7
630,20.5,6.71,6,Afternoon,Medium,Clear,54.9
631,6.5,5.97,6,Evening,Medium,Clear,38.8
632,22.6,3.31,5,Morning,Medium,Cloudy,40.3
633,14.2,3.71,1,Night,High,Cloudy,36.2
634,12.9,7.06,2,Morning,Medium,Clear,34.8
635,9.9,4.33,7,Morning,Medium,Rainy,34.6
636,6.7,4.19,7,Evening,Medium,Clear,31.6
637,19.1,3.09,6,Evening,High,Clear,47.8
638,15.4,5.85,5,Evening,Medium,Cloudy,46.2
639,8.6,9.13,5,Afternoon,Low,Cloudy,44.3
640,8.5,2.86,4,Afternoon,Low,Rainy,25.7
641,13.3,5.05,3,Morning,Low,Stormy,40.6
642,23.3,7.82,3,Evening,Medium,Clear,47.2
643,13.7,4.84,6,Morning,Low,Clear,44.1
644,7.5,5.9,7,Night,Low,Clear,41.1
645,13.8,2.88,4,Night,Jam,Cloudy,49.8
646,13.6,5.86,4,Evening,High,Rainy,57.4
647,5.0,4.63,4,Evening,Medium,Clear,27.6
648,14.7,6.97,6,Night,Jam,Clear,61.2
649,13.8,7.37,3,Evening,Low,Clear,34.7
650,18.5,10.18,7,Afternoon,Medium,Rainy,65.2
651,24.2,6.16,4,Afternoon,Medium,Clear,59.1
652,20.6,5.65,7,Evening,Medium,Clear,41.8
653,13.7,5.39,1,Night,Medium,Cloudy,41.4
654,9.5,4.29,5,Morning,Medium,Rainy,36.9
655,27.9,5.68,5,Evening,Medium,Cloudy,62.3
656,15.3,4.41,7,Evening,High,Cloudy,57.3
657,15.1,5.34,2,Morning,Low,Clear,34.3
658,14.9,7.64,2,Evening,Low,Cloudy,43.7
659,16.0,2.99,6,Morning,Low,Cloudy,31.0
660,14.3,7.28,6,Night,Low,Stormy,54.3
661,12.1,7.63,5,Afternoon,Medium,Clear,50.1
662,12.3,4.76,1,Night,Low,Clear,30.7
663,14.8,0.76,3,Afternoon,High,Clear,30.7
664,12.3,3.78,3,Morning,Low,Clear,29.4
665,11.4,7.59,6,Afternoon,Low,Rainy,56.4
666,15.5,4.95,1,Night,Medium,Clear,37.2
667,13.7,3.0,6,Afternoon,Low,Clear,28.0
668,22.5,3.99,3,Morning,Medium,Clear,41.5
669,5.0,6.68,7,Afternoon,Medium,Clear,36.9
670,20.5,6.09,6,Evening,Low,Clear,45.1
671,21.2,4.52,4,Night,Low,Clear,41.2
672,5.0,4.27,7,Evening,Medium,Clear,32.2
673,13.3,4.22,6,Morning,Low,Cloudy,36.0
674,13.1,3.16,5,Afternoon,Low,Cloudy,34.4
675,8.0,8.23,6,Evening,Low,Clear,33.9
676,11.1,4.36,5,Evening,Low,Stormy,37.5
677,9.4,7.43,1,Afternoon,Medium,Cloudy,44.3
678,23.8,8.04,3,Afternoon,Medium,Cloudy,66.4
679,19.7,7.0,7,Night,Medium,Clear,52.9
680,21.4,4.14,7,Evening,Low,Clear,48.1
681,18.6,5.81,2,Evening,Low,Clear,41.1
682,9.4,4.95,2,Morning,High,Clear,35.9
683,12.4,3.19,3,Night,Medium,Clear,32.5
684,17.4,5.65,2,Morning,High,Rainy,53.7
685,8.9,2.64,7,Evening,Medium,Clear,34.8
686,18.6,7.38,6,Morning,Medium,Clear,48.8
687,13.8,4.07,1,Evening,Medium,Cloudy,36.1
688,13.1,5.4,1,Evening,Medium,Clear,30.1
689,18.6,5.57,3,Morning,Medium,Cloudy,47.0
690,17.2,4.48,2,Morning,Medium,Cloudy,37.6
691,13.2,6.17,6,Afternoon,Low,Cloudy,38.2
692,20.8,4.05,1,Afternoon,Medium,Stormy,48.9
693,9.6,6.74,1,Afternoon,High,Clear,34.8
694,18.1,2.31,4,Evening,Jam,Cloudy,46.3
695,18.0,5.25,4,Morning,Medium,Rainy,49.2
696,13.5,8.88,7,Night,Medium,Cloudy,58.4
697,16.6,3.0,1,Evening,Low,Clear,29.1
698,8.7,3.64,3,Night,Medium,Rainy,34.5
699,19.6,6.03,5,Morning,Medium,Clear,49.9
700,14.1,5.36,5,Evening,Jam,Rainy,50.8
701,12.4,5.7,6,Night,Medium,Clear,41.7
702,20.2,5.98,1,Night,Medium,Cloudy,43.4
703,11.5,6.27,1,Afternoon,Medium,Rainy,42.5
704,8.0,7.22,7,Afternoon,High,Clear,41.7
705,7.2,5.82,1,Afternoon,Medium,Clear,25.8
706,18.0,4.52,3,Evening,Medium,Clear,43.6
707,8.6,6.35,4,Morning,Jam,Stormy,58.7
708,23.8,8.8,1,Morning,Low,Rainy,54.1
709,5.0,4.73,1,Afternoon,High,Cloudy,28.3
710,23.5,3.05,7,Afternoon,Low,Cloudy,39.9
711,16.1,7.21,2,Afternoon,High,Rainy,55.3
712,14.5,4.76,7,Night,Medium,Clear,46.7
713,12.3,0.65,7,Afternoon,Medium,Clear,29.5
714,17.0,6.69,3,Night,High,Cloudy,54.1
715,14.8,3.93,6,Morning,Low,Clear,33.4
716,20.5,4.82,1,Evening,Low,Clear,33.8
717,15.6,5.66,7,Evening,Medium,Clear,52.3
718,15.8,5.38,7,Evening,Medium,Clear,41.2
719,13.2,6.42,2,Evening,Medium,Rainy,40.6
720,14.7,4.13,7,Night,Low,Clear,30.8
721,16.5,6.03,5,Night,Low,Cloudy,41.6
722,6.4,4.48,6,Afternoon,Low,Clear,26.5
723,8.3,6.48,1,Night,Low,Clear,28.5
724,18.7,6.23,1,Afternoon,Medium,Clear,46.5
725,15.9,3.13,2,Afternoon,High,Cloudy,43.7
726,14.1,7.17,3,Evening,Jam,Cloudy,57.1
727,15.1,3.93,1,Night,High,Rainy,40.1
728,16.7,6.62,5,Night,Low,Cloudy,49.6
729,12.3,5.73,1,Afternoon,Medium,Cloudy,39.1
730,11.1,8.68,5,Afternoon,Low,Cloudy,50.1
731,16.0,4.55,6,Morning,Low,Rainy,41.8
732,10.1,4.3,6,Morning,Medium,Cloudy,37.3
733,17.0,4.96,4,Afternoon,Low,Clear,36.7
734,6.5,4.39,4,Morning,Low,Cloudy,29.5
735,20.1,6.6,5,Morning,Jam,Cloudy,62.2
736,17.4,1.77,3,Afternoon,Medium,Cloudy,35.5
737,16.3,2.89,1,Afternoon,Medium,Clear,29.6
738,19.9,2.86,7,Night,Low,Rainy,34.3
739,23.3,6.9,1,Afternoon,Low,Stormy,49.9
740,20.1,8.42,4,Afternoon,High,Clear,67.9
741,5.8,4.79,7,Evening,Low,Rainy,29.0
742,8.6,4.66,5,Night,Medium,Clear,34.7
743,11.9,5.14,7,Night,Low,Clear,37.3
744,15.1,7.32,1,Night,Medium,Clear,49.8
745,17.6,3.15,1,Evening,Low,Clear,27.4
746,11.4,5.48,3,Afternoon,High,Rainy,42.2
747,15.9,6.95,2,Night,High,Clear,53.4
748,11.2,6.0,7,Night,High,Clear,54.4
749,11.9,5.38,4,Morning,Low,Clear,32.8
750,8.0,7.0,4,Night,High,Clear,44.0
751,10.4,0.5,2,Afternoon,Medium,Clear,19.9
752,8.2,6.36,1,Afternoon,Medium,Cloudy,38.8
753,10.1,3.69,3,Morning,Medium,Clear,32.5
754,20.3,1.34,3,Night,Low,Rainy,33.1
755,10.3,6.02,4,Night,Low,Rainy,30.7
756,28.2,7.75,3,Night,High,Clear,72.5
757,17.5,4.73,6,Evening,Low,Rainy,45.5
758,15.9,6.91,2,Night,Medium,Clear,39.3
759,10.7,8.22,1,Afternoon,Medium,Clear,43.2
760,18.5,7.63,6,Afternoon,High,Clear,59.8
761,12.1,8.28,2,Evening,Jam,Clear,54.2
762,15.6,6.48,5,Evening,High,Cloudy,53.6
763,27.8,5.15,7,Night,Low,Cloudy,53.4
764,14.5,1.8,4,Morning,Low,Clear,25.0
765,20.7,4.51,3,Evening,Medium,Cloudy,41.8
766,11.5,3.31,5,Evening,Low,Clear,26.5
767,14.8,9.34,3,Night,Low,Cloudy,42.5
768,23.9,4.65,6,Night,Medium,Clear,54.6
769,11.9,5.25,1,Evening,Medium,Clear,35.9
770,24.1,6.1,1,Morning,Jam,Clear,63.6
771,18.5,5.09,1,Evening,Low,Clear,37.6
772,12.2,8.39,3,Night,Low,Cloudy,42.3
773,18.2,3.75,5,Night,Low,Rainy,47.4
774,19.9,5.39,1,Evening,Jam,Clear,49.1
775,18.1,3.52,5,Morning,High,Cloudy,48.1
776,7.1,2.36,3,Evening,High,Cloudy,30.6
777,11.4,3.78,6,Evening,Jam,Rainy,47.6
778,13.8,4.93,5,Night,Medium,Clear,39.7
779,14.6,4.14,6,Morning,Medium,Clear,41.4
780,18.1,3.62,3,Afternoon,Medium,Rainy,40.4
781,15.9,2.19,3,Morning,Medium,Cloudy,34.0
782,8.3,4.83,4,Evening,Medium,Clear,35.3
783,16.9,1.99,3,Evening,Medium,Clear,31.3
784,18.1,6.52,3,Evening,Jam,Clear,53.5
785,17.8,5.16,2,Morning,Jam,Cloudy,57.7
786,20.4,2.08,1,Night,High,Cloudy,39.3
787,19.2,4.38,4,Evening,High,Clear,48.5
788,17.3,3.5,7,Evening,Medium,Cloudy,42.0
789,14.6,5.64,4,Morning,Low,Cloudy,39.3
790,6.7,7.68,4,Afternoon,Low,Cloudy,43.8
791,17.1,1.25,7,Afternoon,Medium,Cloudy,37.9
792,16.0,5.23,2,Night,High,Rainy,49.5
793,16.4,4.68,6,Night,Low,Clear,33.4
794,8.6,6.34,3,Evening,Jam,Rainy,49.5
795,9.6,5.43,1,Morning,Low,Clear,24.3
796,20.3,3.5,5,Evening,Low,Clear,35.7
797,14.8,4.36,7,Night,Medium,Clear,38.4
798,18.4,3.41,6,Morning,Low,Clear,32.8
799,15.1,7.15,7,Morning,Low,Clear,41.0
800,15.1,5.04,3,Night,Medium,Clear,34.3
801,19.7,8.8,2,Afternoon,High,Rainy,60.8
802,12.4,4.88,7,Afternoon,Medium,Clear,48.4
803,15.5,3.58,3,Morning,Medium,Cloudy,38.1
804,12.7,1.97,3,Evening,Medium,Clear,26.9
805,12.8,1.39,2,Afternoon,Low,Rainy,24.1
806,13.5,1.83,4,Evening,Jam,Cloudy,40.8
807,16.1,5.53,4,Afternoon,Low,Clear,41.6
808,12.6,6.02,1,Afternoon,Jam,Cloudy,44.1
809,21.3,1.84,1,Evening,Medium,Cloudy,34.7
810,10.5,6.79,4,Night,Jam,Cloudy,51.9
811,14.1,4.03,6,Afternoon,Low,Cloudy,33.0
812,12.8,5.29,5,Afternoon,Medium,Cloudy,44.6
813,22.2,8.22,3,Evening,Low,Cloudy,51.8
814,16.0,6.79,5,Night,Low,Clear,43.1
815,20.2,4.46,3,Afternoon,Medium,Clear,44.0
816,7.6,3.22,4,Afternoon,Low,Rainy,26.4
817,16.3,0.7,1,Night,Medium,Clear,24.6
818,19.4,3.56,6,Afternoon,Low,Clear,33.0
819,15.4,4.58,1,Night,Medium,Clear,35.2
820,20.3,3.03,5,Night,High,Clear,45.4
821,12.4,4.74,1,Evening,Medium,Stormy,44.5
822,22.0,5.15,4,Morning,Medium,Clear,49.3
823,26.5,4.55,6,Night,Medium,Clear,54.8
824,13.2,3.7,5,Evening,High,Cloudy,42.2
825,12.8,5.34,6,Morning,Medium,Rainy,46.1
826,22.3,5.88,3,Afternoon,Medium,Clear,53.0
827,22.9,2.82,1,Morning,Jam,Clear,49.2
828,12.4,7.82,6,Night,High,Rainy,54.0
829,12.9,4.8,2,Night,Medium,Cloudy,39.1
830,13.6,5.04,1,Night,Medium,Clear,32.6
831,8.3,6.42,3,Night,High,Clear,38.0
832,10.4,5.47,6,Night,Medium,Clear,47.9
833,10.0,6.91,5,Evening,Low,Clear,40.6
834,11.2,5.57,3,Night,Low,Clear,29.4
835,14.8,3.78,2,Evening,High,Rainy,43.0
836,16.2,5.72,6,Afternoon,Low,Clear,39.3
837,22.8,2.71,7,Night,High,Cloudy,53.4
838,10.0,5.22,7,Night,Medium,Clear,34.7
839,19.9,4.93,4,Morning,Medium,Cloudy,43.1
840,13.9,4.58,1,Afternoon,Low,Cloudy,30.9
841,14.8,4.74,5,Night,Low,Clear,33.2
842,18.4,1.24,4,Night,Jam,Cloudy,41.8
843,9.4,3.9,6,Afternoon,High,Clear,44.7
844,16.9,5.19,7,Evening,Medium,Rainy,53.3
845,15.8,5.32,7,Night,Medium,Rainy,50.6
846,17.5,2.94,7,Morning,Medium,Clear,48.1
847,16.4,7.53,6,Night,Medium,Clear,57.5
848,27.3,3.27,7,Morning,Medium,Clear,54.5
849,11.8,6.94,3,Morning,Low,Cloudy,42.5
850,12.3,5.85,6,Night,Medium,Clear,45.8
851,11.9,3.71,5,Night,High,Clear,41.2
852,12.2,8.55,4,Morning,Jam,Clear,66.1
853,11.8,2.61,5,Afternoon,Low,Clear,27.6
854,20.9,6.84,2,Afternoon,High,Cloudy,53.7
855,22.1,7.0,7,Night,Medium,Clear,65.2
856,12.1,3.66,2,Evening,Medium,Cloudy,33.6
857,10.8,7.78,1,Afternoon,Low,Clear,30.8
858,17.4,4.5,1,Night,Medium,Clear,36.4
859,12.2,5.58,2,Afternoon,Medium,Cloudy,40.3
860,18.2,5.52,6,Evening,Medium,Stormy,58.5
861,16.0,4.73,5,Night,High,Cloudy,51.3
862,7.4,6.62,2,Evening,High,Clear,44.2
863,22.7,6.59,1,Night,Medium,Clear,49.8
864,24.0,1.5,2,Evening,Jam,Rainy,51.3
865,11.9,7.61,6,Afternoon,Medium,Clear,46.6
866,13.1,1.68,2,Afternoon,Low,Clear,20.2
867,16.4,7.07,5,Evening,Medium,Rainy,52.4
868,16.7,7.25,4,Evening,Low,Rainy,47.8
869,18.3,2.82,6,Evening,Medium,Stormy,45.0
870,25.1,4.18,1,Night,Low,Rainy,48.1
871,14.1,2.79,5,Afternoon,Low,Rainy,29.7
872,11.0,4.57,2,Night,High,Clear,36.2
873,8.1,4.38,2,Afternoon,Low,Clear,24.6
874,11.3,6.56,4,Morning,Medium,Cloudy,50.1
875,14.8,7.62,1,Night,Low,Cloudy,36.4
876,24.0,7.79,1,Afternoon,Medium,Clear,50.8
877,12.4,3.88,3,Afternoon,Medium,Clear,31.0
878,16.1,4.58,1,Night,High,Clear,43.3
879,14.9,1.63,4,Night,Medium,Cloudy,29.0
880,20.9,3.39,7,Afternoon,Low,Clear,36.7
881,27.6,6.93,3,Night,Medium,Clear,55.1
882,12.3,8.23,3,Evening,Low,Cloudy,49.6
883,12.6,2.53,2,Night,Medium,Cloudy,29.3
884,20.2,3.82,2,Night,Medium,Clear,37.6
885,18.4,4.95,1,Night,Jam,Cloudy,52.4
886,24.2,5.56,3,Afternoon,Low,Cloudy,51.3
887,17.9,3.38,2,Evening,Medium,Clear,36.3
888,13.2,5.85,4,Morning,Low,Clear,44.2
889,18.0,4.05,2,Morning,Medium,Clear,39.7
890,20.5,4.97,6,Evening,Medium,Clear,45.9
891,19.1,6.09,6,Evening,Jam,Rainy,64.3
892,17.5,5.01,2,Evening,Low,Clear,33.4
893,20.3,4.13,3,Afternoon,Low,Cloudy,37.8
894,20.8,4.78,7,Morning,Medium,Clear,50.8
895,21.9,4.82,7,Evening,Low,Clear,44.3
896,18.2,4.26,3,Afternoon,Low,Cloudy,38.9
897,14.2,4.48,5,Morning,Medium,Clear,34.2
898,15.7,8.2,7,Night,Low,Clear,55.1
899,21.0,6.12,6,Afternoon,Low,Clear,45.3
900,10.9,4.41,4,Morning,High,Clear,37.1
901,16.8,6.39,3,Afternoon,Medium,Cloudy,51.2
902,13.0,4.33,1,Morning,Low,Clear,28.1
903,15.1,7.35,6,Morning,Low,Rainy,53.7
904,21.4,5.74,4,Night,Medium,Cloudy,48.8
905,16.0,4.79,4,Afternoon,Low,Clear,37.4
906,15.2,5.9,3,Evening,Medium,Clear,43.7
907,8.2,1.86,4,Night,Low,Clear,20.6
908,18.7,2.75,3,Night,Medium,Cloudy,38.3
909,18.2,2.61,7,Morning,Medium,Clear,47.0
910,25.8,5.29,2,Evening,Medium,Rainy,57.3
911,13.5,8.47,6,Afternoon,High,Clear,65.9
912,16.1,9.46,5,Evening,Medium,Rainy,66.8
913,16.2,6.28,2,Evening,Low,Clear,39.8
914,22.9,6.0,6,Evening,Low,Rainy,51.5
915,14.5,1.4,3,Evening,Medium,Clear,26.7
916,16.4,3.91,6,Evening,Low,Clear,36.4
917,18.0,3.42,7,Morning,Low,Clear,34.0
918,15.9,3.76,3,Morning,High,Clear,39.6
919,12.8,4.66,2,Night,Medium,Stormy,41.6
920,16.0,4.06,1,Morning,Medium,Clear,32.1
921,20.4,1.04,1,Night,Medium,Clear,30.6
922,9.9,6.5,6,Night,Medium,Cloudy,44.5
923,15.7,2.85,1,Afternoon,Low,Clear,25.0
924,11.5,5.48,3,Evening,High,Cloudy,40.4
925,21.0,9.15,4,Morning,Low,Cloudy,61.4
926,7.4,3.16,3,Afternoon,High,Clear,30.5
927,12.2,0.5,4,Morning,High,Rainy,36.4
928,16.9,4.43,2,Night,High,Clear,44.0
929,22.8,7.2,5,Morning,Medium,Clear,52.7
930,14.7,8.92,4,Evening,Low,Cloudy,50.3
931,12.2,2.54,1,Night,Medium,Cloudy,31.2
932,24.4,5.99,3,Night,Medium,Clear,53.3
933,7.8,4.07,2,Afternoon,Medium,Cloudy,30.1
934,5.0,4.79,1,Evening,High,Clear,28.8
935,17.2,10.29,2,Night,Medium,Clear,60.9
936,12.5,1.99,5,Evening,Low,Rainy,27.8
937,9.9,5.51,7,Morning,Low,Clear,33.9
938,18.5,5.94,3,Evening,Medium,Clear,44.9
939,16.2,7.17,6,Night,Medium,Rainy,55.5
940,12.2,5.2,3,Afternoon,High,Stormy,49.2
941,8.6,5.62,5,Night,Medium,Clear,29.5
942,19.4,4.22,3,Evening,High,Cloudy,46.8
943,18.3,5.54,6,Evening,High,Cloudy,55.4
944,14.5,4.31,4,Night,High,Rainy,41.5
945,24.2,6.24,2,Evening,Low,Rainy,47.9
946,9.6,4.26,6,Morning,High,Clear,46.0
947,7.4,5.75,1,Night,Low,Clear,26.3
948,11.5,4.94,5,Afternoon,Low,Clear,34.6
949,14.8,7.25,4,Night,Medium,Cloudy,46.2
950,16.2,4.9,1,Morning,Medium,Cloudy,40.6
951,13.8,1.45,1,Morning,Low,Cloudy,20.3
952,16.8,7.52,5,Morning,Low,Stormy,59.2
953,8.7,3.19,4,Morning,Low,Clear,22.8
954,22.2,3.69,7,Morning,Jam,Clear,55.8
955,14.6,3.81,1,Afternoon,Low,Clear,26.4
956,20.6,7.75,1,Evening,Low,Clear,48.3
957,16.7,0.73,4,Morning,Medium,Clear,31.7
958,17.3,11.28,3,Morning,Medium,Clear,59.4
959,17.8,7.11,1,Night,Jam,Cloudy,53.0
960,17.2,5.45,2,Afternoon,Low,Rainy,41.9
961,18.2,4.89,4,Afternoon,Medium,Cloudy,49.0
962,21.6,5.57,1,Evening,Medium,Cloudy,49.8
963,16.0,6.04,5,Afternoon,Jam,Clear,53.3
964,18.5,6.29,6,Night,Medium,Cloudy,50.2
965,14.6,6.11,2,Night,High,Cloudy,53.0
966,22.2,5.18,6,Evening,Low,Cloudy,49.4
967,11.6,4.61,6,Night,Medium,Clear,38.3
968,24.0,4.7,1,Morning,Medium,Clear,48.6
969,14.8,4.61,2,Morning,High,Clear,45.1
970,7.8,7.27,2,Night,Low,Cloudy,34.8
971,15.6,6.19,3,Evening,Low,Rainy,42.1
972,11.6,0.5,6,Afternoon,Medium,Rainy,29.4
973,19.2,6.31,2,Evening,Low,Clear,42.6
974,11.7,5.39,3,Afternoon,Low,Cloudy,32.8
975,12.8,4.96,4,Night,Jam,Rainy,50.8
976,5.6,4.22,3,Night,Medium,Clear,25.5
977,12.7,7.25,5,Morning,Medium,Clear,44.3
978,5.0,6.9,7,Afternoon,High,Rainy,47.4
979,7.1,3.45,1,Evening,Medium,Clear,25.0
980,18.8,5.81,4,Night,Low,Rainy,49.0
